ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ZENITHEXPO","BE","24-Feb-2025","252.60","252.60","252.60","240.00","240.00","240.00","241.33","507","1,22,356.25","30","-","-"
"ZENITHEXPO","BE","25-Feb-2025","240.00","228.50","230.60","228.40","229.50","229.60","229.42","642","1,47,287.60","38","-","-"
"ZENITHEXPO","BE","27-Feb-2025","229.60","219.10","241.05","219.10","240.00","240.25","229.01","969","2,21,912.80","35","-","-"
"ZENITHEXPO","BE","28-Feb-2025","240.25","245.25","252.25","244.65","252.25","252.25","250.07","644","1,61,045.00","37","-","-"
"ZENITHEXPO","BE","03-Mar-2025","252.25","255.10","255.10","239.65","239.65","239.70","250.24","313","78,324.95","25","-","-"
"ZENITHEXPO","BE","04-Mar-2025","239.70","239.75","240.90","227.75","227.75","228.40","230.38","721","1,66,101.65","26","-","-"
"ZENITHEXPO","BE","05-Mar-2025","228.40","227.75","227.75","217.00","227.00","227.00","219.60","1,554","3,41,256.05","39","-","-"
"ZENITHEXPO","BE","06-Mar-2025","227.00","228.10","228.10","215.65","219.00","219.00","217.90","255","55,565.60","17","-","-"
"ZENITHEXPO","BE","07-Mar-2025","219.00","219.00","219.00","219.00","219.00","219.00","219.00","225","49,275.00","16","-","-"
"ZENITHEXPO","BE","10-Mar-2025","219.00","219.00","219.15","219.00","219.10","219.10","219.09","194","42,502.65","8","-","-"
"ZENITHEXPO","BE","11-Mar-2025","219.10","219.20","219.20","208.15","216.00","216.00","217.82","79","17,208.15","7","-","-"
"ZENITHEXPO","BE","12-Mar-2025","216.00","216.00","216.00","211.70","216.00","216.00","214.36","118","25,294.50","12","-","-"
"ZENITHEXPO","BE","13-Mar-2025","216.00","217.00","217.00","215.00","215.10","215.10","215.13","437","94,013.10","15","-","-"
"ZENITHEXPO","BE","17-Mar-2025","215.10","215.10","215.10","213.00","213.00","213.00","213.79","191","40,834.00","15","-","-"
"ZENITHEXPO","BE","18-Mar-2025","213.00","202.50","223.65","202.35","206.40","203.05","204.31","1,132","2,31,274.55","28","-","-"
"ZENITHEXPO","BE","19-Mar-2025","203.05","202.05","202.05","202.00","202.05","202.05","202.04","145","29,296.00","13","-","-"
"ZENITHEXPO","BE","20-Mar-2025","202.05","202.35","211.95","193.00","211.95","211.95","195.79","432","84,581.60","29","-","-"
"ZENITHEXPO","BE","21-Mar-2025","211.95","211.95","221.95","201.50","220.00","220.00","209.14","1,786","3,73,524.40","22","-","-"
"ZENITHEXPO","BE","24-Mar-2025","220.00","214.50","215.00","210.00","215.00","215.00","211.69","670","1,41,829.50","23","-","-"
"ZENITHEXPO","EQ","25-Mar-2025","215.00","205.10","219.35","205.10","207.25","208.50","209.57","216","45,266.70","27","129","59.72"
"ZENITHEXPO","EQ","26-Mar-2025","208.50","207.00","213.45","207.00","213.00","213.00","210.06","123","25,837.40","13","118","95.93"
"ZENITHEXPO","EQ","27-Mar-2025","213.00","202.65","212.65","202.35","202.75","203.65","203.71","764","1,55,636.75","38","642","84.03"
