SYMBOL,NAME OF COMPANY,FACE VALUE
20MICRONS,20 Microns Limited,5
21STCENMGM,21st Century Management Services Limited,10
360ONE,360 ONE WAM LIMITED,1
3IINFOLTD,3i Infotech Limited,10
3MINDIA,3M India Limited,10
3PLAND,3P Land Holdings Limited,2
5PAISA,5Paisa Capital Limited,10
63MOONS,63 moons technologies limited,2
A2ZINFRA,A2Z Infra Engineering Limited,10
AADHARHFC,Aadhar Housing Finance Limited,10
AAKASH,Aakash Exploration Services Limited,1
AARON,Aaron Industries Limited,10
AARTECH,Aartech Solonics Limited,5
AARTIDRUGS,Aarti Drugs Limited,10
AARTIIND,Aarti Industries Limited,5
AARTIPHARM,Aarti Pharmalabs Limited,5
AARTISURF,Aarti Surfactants Limited,10
AARVI,Aarvi Encon Limited,10
AAVAS,Aavas Financiers Limited,10
ABB,ABB India Limited,2
ABBOTINDIA,Abbott India Limited,10
ABCAPITAL,Aditya Birla Capital Limited,10
ABCOTS,A B Cotspin India Limited,10
ABDL,Allied Blenders and Distillers Limited,2
ABFRL,Aditya Birla Fashion and Retail Limited,10
ABINFRA,A B Infrabuild Limited,1
ABLBL,Aditya Birla Lifestyle Brands Limited,10
ABMINTLLTD,ABM International Limited,10
ABREL,Aditya Birla Real Estate Limited,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,5
ACC,ACC Limited,10
ACCELYA,Accelya Solutions India Limited,10
ACCURACY,Accuracy Shipping Limited,1
ACE,Action Construction Equipment Limited,2
ACEINTEG,Ace Integrated Solutions Limited,10
ACI,Archean Chemical Industries Limited,2
ACL,Andhra Cements Limited,10
ACMESOLAR,Acme Solar Holdings Limited,2
ACUTAAS,Acutaas Chemicals Limited,5
ADANIENSOL,Adani Energy Solutions Limited,10
ADANIENT,Adani Enterprises Limited,1
ADANIGREEN,Adani Green Energy Limited,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2
ADANIPOWER,Adani Power Limited,2
ADFFOODS,ADF Foods Limited,2
ADL,Archidply Decor Limited,10
ADOR,Ador Welding Limited,10
ADROITINFO,Adroit Infotech Limited,10
ADSL,Allied Digital Services Limited,5
ADVANCE,Advance Agrolife Limited,10
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,2
ADVENTHTL,Advent Hotels International Limited,10
ADVENZYMES,Advanced Enzyme Technologies Limited,2
AEGISLOG,Aegis Logistics Limited,1
AEGISVOPAK,Aegis Vopak Terminals Limited,10
AEQUS,Aequs Limited,10
AEROENTER,Aeroflex Enterprises Limited,2
AEROFLEX,Aeroflex Industries Limited,2
AERONEU,Aeroflex Neu Limited,10
AETHER,Aether Industries Limited,10
AFCONS,Afcons Infrastructure Limited,10
AFFLE,Affle 3i Limited,2
AFFORDABLE,Affordable Robotic & Automation Limited,10
AFIL,Akme Fintrade (India) Limited,1
AFSL,Abans Financial Services Limited,2
AGARIND,Agarwal Industrial Corporation Limited,10
AGARWALEYE,Dr. Agarwal's Health Care Limited,1
AGI,AGI Greenpac Limited,2
AGIIL,Agi Infra Limited,1
AGRITECH,Agri-Tech (India) Limited,10
AGROPHOS,Agro Phos India Limited,10
AHLADA,Ahlada Engineers Limited,10
AHLEAST,Asian Hotels (East) Limited,10
AHLUCONT,Ahluwalia Contracts (India) Limited,2
AIAENG,AIA Engineering Limited,2
AIIL,Authum Investment & Infrastructure Limited,1
AIRAN,Airan Limited,2
AIROLAM,Airo Lam limited,10
AJANTPHARM,Ajanta Pharma Limited,2
AJAXENGG,Ajax Engineering Limited,1
AJMERA,Ajmera Realty & Infra India Limited,10
AJOONI,Ajooni Biotech Limited,2
AKASH,Akash Infra-Projects Limited,10
AKG,Akg Exim Limited,10
AKI,AKI India Limited,2
AKSHAR,Akshar Spintex Limited,1
AKSHARCHEM,AksharChem India Limited,10
AKSHOPTFBR,Aksh Optifibre Limited,5
