Symbol,Close,SMA_50,SMA_200
360ONE,1135.8,1120.68,1057.62
ABCAPITAL,354.45,325.91,258.18
ABDL,614.75,610.87,464.96
ADANIENSOL,999.6,967.1,870.8
ADANIPORTS,1504.0,1467.27,1361.07
ADOR,1079.8,1075.83,986.82
AETHER,872.5,800.47,790.7
AKZOINDIA,3549.8,3360.73,3414.36
ALKEM,5626.0,5600.07,5173.85
ANGELONE,2577.4,2549.03,2534.32
ANURAS,1279.0,1137.43,1022.21
APEX,259.6,256.8,235.0
APOLLOTYRE,514.1,507.92,466.75
ARTEMISMED,275.15,257.22,252.66
ASAHIINDIA,998.8,959.22,807.72
ASHAPURMIN,701.45,674.01,501.16
ASIANPAINT,2779.4,2644.78,2443.88
ASIANTILES,63.42,63.3,56.74
ATALREAL,24.41,23.82,18.73
AUBANK,973.0,876.67,738.05
AURIGROW,0.74,0.56,0.63
AUROPHARMA,1172.2,1155.97,1135.14
AVANTIFEED,805.65,737.64,759.36
AXISBANK,1272.7,1237.07,1155.94
BAJAJ-AUTO,9053.5,8955.45,8488.22
BALUFORGE,638.95,627.36,620.89
BANKBARODA,285.0,279.33,247.68
BANKINDIA,140.76,138.76,119.73
BESTAGRO,361.85,340.76,348.8
BHARATFORG,1407.4,1331.41,1219.98
BHEL,276.5,262.92,240.51
BIGBLOC,67.1,55.34,60.84
BIOCON,381.75,378.6,356.36
BLSE,220.99,196.9,182.89
BSOFT,427.95,379.39,396.47
CANBK,146.8,138.1,112.89
CANFINHOME,905.1,858.7,764.77
CANTABIL,261.63,252.29,255.5
CARRARO,523.15,512.56,433.97
CCL,967.5,929.56,811.22
CEMPRO,827.45,816.24,724.21
CENTURYPLY,839.9,778.05,752.0
CHENNPETRO,922.15,898.79,714.25
CHOLAFIN,1719.4,1688.3,1569.26
CIGNITITEC,1789.6,1724.66,1590.96
COROMANDEL,2248.9,2243.22,2234.0
CUB,262.15,246.99,204.74
CUBEXTUB,96.99,92.11,90.82
CUMMINSIND,4531.9,4247.12,3556.07
CUPID,394.4,284.57,158.7
DAVANGERE,3.86,3.76,3.78
DBOL,80.97,77.2,77.71
DCBBANK,169.63,160.59,137.35
DCMSHRIRAM,1273.8,1224.26,1179.39
DELPHIFX,249.57,225.48,183.79
DIAMONDYD,1085.6,1052.7,1061.0
DOLPHIN,376.75,375.48,375.89
DREDGECORP,992.25,766.83,675.71
DRREDDY,1273.5,1246.55,1235.9
ECLERX,4441.9,4423.06,3653.35
EICHERMOT,7256.0,6993.04,6023.0
EUREKAFORB,644.4,578.42,562.76
FEDERALBNK,260.9,234.1,206.94
GAEL,117.31,108.56,110.34
GENCON,45.67,43.79,38.91
GESHIP,1095.8,1074.7,978.37
GLENMARK,1956.0,1894.36,1752.79
GMRAIRPORT,98.16,96.84,88.22
GPPL,189.28,170.92,154.76
GRANULES,564.75,557.94,507.73
GRASIM,2797.8,2793.6,2712.93
GRAVITA,1772.8,1696.76,1755.88
GRMOVER,451.55,434.81,354.96
GVT&D,2998.6,2982.64,2373.27
HARDWYN,16.53,15.12,13.83
HCLTECH,1672.4,1558.81,1557.5
HDFCLIFE,775.2,757.01,742.33
HEG,533.25,528.05,493.8
HEROMOTOCO,5979.5,5733.81,4710.14
HINDALCO,824.35,800.25,706.46
HINDCOPPER,357.05,340.15,267.05
HINDZINC,522.65,487.14,452.96
ICICIPRULI,635.85,609.85,609.14
IDEA,11.25,10.08,8.06
IDFCFIRSTB,80.61,77.95,70.08
IIFL,568.2,528.18,444.72
IMFA,1351.2,1239.01,863.06
INDIACEM,418.65,395.83,347.49
INDIGOPNTS,1232.1,1144.06,1099.57
INDUSINDBK,835.55,803.59,802.69
INDUSTOWER,410.35,382.37,373.31
INFOBEAN,649.1,570.27,456.09
INFY,1598.0,1519.3,1535.48
IOC,161.75,161.4,145.06
IPCALAB,1471.9,1361.85,1388.35
JAMNAAUTO,125.53,103.8,92.93
JBCHEPHARM,1815.8,1736.12,1680.34
JKTYRE,452.05,428.1,356.64
JSL,778.0,765.84,693.7
KARURVYSYA,241.69,240.67,233.04
KIRLOSENG,1116.3,1015.8,871.45
KMEW,3178.4,2608.04,1909.82
KOTAKBANK,2180.2,2126.19,2085.95
KRBL,394.3,385.6,362.96
KRISHANA,523.95,516.3,436.14
